LSB,"(7,4)Hamming Code",PRDHHC,Paper
1.765895746060459,2.681028407079652,4.210672022293068,4.236877451481659
2.9003859942416716,3.1324918415331418,2.9750754356322875,3.0037584062320253
2.621570620908182,2.825529378093373,4.0278105971979405,4.069961731717692
2.3087575803579106,3.162226249464606,3.945452923144734,3.9859301806060174
2.995895288391404,3.2326964060379533,4.533422292000855,4.570361394454716
2.0260986715487337,2.626211977833342,3.905593957820815,3.942140942369643
2.8376592261541838,2.989232088394397,2.9754945527677856,2.9785326573278716
3.1164350414835065,2.9905132809911708,2.939999780895158,2.988305811150871
2.163069133970346,2.962633154840571,4.434611838826417,4.471556072667552
2.3779239292150423,2.276391425726084,4.3980318030165355,4.4428614140612765
3.3202740228562533,3.0424017387143616,3.9433096380977966,3.976453328103153
2.589964775946784,2.9597047476538716,3.406229107430645,3.444861087605721
2.5072034005243937,3.313212880912946,4.082449985326411,4.120850148492714
1.7620163432283695,2.7665375640784813,4.369765268961988,4.407694834432691
2.3868376268239038,2.317956194567473,3.8755408820309674,3.914259726347097
2.0268259570690814,2.3530747581308633,2.2680090430595574,2.3115166373322498
2.602798525061253,3.262715397754575,2.70484650006951,2.7360579844432085
2.833960246992102,3.2434977106553244,4.343056826854079,4.3812693769154984
2.6664501028992333,2.9196928210714175,4.344359929896789,4.378548112512222
2.5681519243178252,3.0683051566153328,4.262611051109795,4.303846277682585
1.9968385351006386,3.2000313082409306,4.351202845332269,4.384984354034913
2.068685891092735,2.818235962661994,4.0953413787999615,4.1236179067458885
1.542176818941884,1.8466069381198444,4.116014376341254,4.150213145724918
2.0263996417420165,2.1246824588896205,4.186563839972477,4.21092437377225
2.6047545770523737,3.1673331849197908,3.2527077406415987,3.310685342649617
2.9175884066648226,3.223888782115708,2.6751486792331765,2.7190272647470834
2.4645756051382826,3.1191998992726555,4.526923254214589,4.565830589616994
2.4547807424479124,3.1353890656966676,4.208023451304754,4.251987111425492
2.854989634547242,3.205121229073746,4.402304607044152,4.435494969833306
2.8092129157491126,3.113637649774353,4.171099926543753,4.214762038547851
1.8840509865476995,2.5617240696126125,4.493504071338998,4.534862176431414
1.735679038516774,2.1103566620497363,4.00112537236401,4.032830583306126
2.4308406346315046,3.299208461290829,4.293287738779247,4.336840064189393
2.4287153324831348,3.06965922730061,3.6958553279956416,3.7215158842895457
2.76416260454458,3.2128254938951795,4.375245319311622,4.414414467046329
2.0111677236655034,3.0969847006814266,4.433934596903146,4.471546677180429
3.139120102458481,3.325547730627205,4.399756449626165,4.442362886990494
2.7331154692055417,2.976289484221552,4.466233939373354,4.500027610704807
2.835113486031665,3.158501453280347,4.272886635331522,4.312151715332124
2.1675609901467494,3.1955228499955517,4.441624774225975,4.482353240487084
2.6594749980075334,3.281811934474839,2.6298447534246723,2.686957262787075
2.4177484218002387,3.2338498260684982,4.057981568990746,4.0944426342235944
2.691466379029581,3.2712515265875046,4.329664914072517,4.363215594859398
2.330042812055628,3.1876676764950282,3.250617315536604,3.2614381114654782
3.520596271477038,3.288644919477435,4.301923978615239,4.3372884084910925
1.7744988508344806,2.079991296710075,4.24230140963182,4.270504611578823
2.5722939352317513,2.918942733385628,4.104636078305189,4.145766712414261
3.4186108271162503,3.2508295083325276,4.4501735089742676,4.487969927254641
2.5238331232250566,2.6675948689945415,4.246781977487225,4.279160812557441
3.0841971931692065,3.092879416628727,3.9774952455093526,4.012182756092145
3.0369742617085844,3.0885395211114517,3.1375847897557554,3.1666620724992183
2.6407112200287512,3.2275262334160013,4.06201004993049,4.094715924572451
